timestamp,source,destination,relay,mission_phase,frequency_band,encryption,packet_size,delay_ms,signal_strength,ttl,ttl_evidence,dsslv_score,dynamic_ttl_trust,trust_score,status
2026-07-15 10:02:05,ISS_Module,Earth,Relay_E,Data Transmission,Ka-Band,AES-256,2048,601,-60,62,96.88,90,93.0,91.5,Normal
2026-07-15 10:08:40,ISS_Module,Earth,Relay_E,Data Transmission,X-Band,Post-Quantum,4096,642,-55,62,96.88,85,93.0,89.0,Normal
2026-07-15 10:09:00,Mars_Rover,Earth,Relay_A,Sample Collection,Ka-Band,AES-256,1024,1189,-70,64,100.0,100,96.0,98.0,Normal
2026-07-15 10:06:04,ISS_Module,Earth,Relay_E,Surface Operation,X-Band,AES-256,4096,568,-60,63,98.44,90,94.5,92.25,Normal
2026-07-15 10:07:15,ISS_Module,Earth,Relay_E,Data Transmission,X-Band,Post-Quantum,512,597,-56,62,96.88,86,93.0,89.5,Normal
2026-07-15 10:07:30,Mars_Rover,Earth,Relay_A,Data Transmission,X-Band,RSA-4096,1024,1235,-70,62,96.88,100,93.0,96.5,Normal
2026-07-15 10:04:39,Lunar_Probe,Earth,Relay_C,Surface Operation,Ka-Band,Post-Quantum,512,1020,-66,62,96.88,96,93.0,94.5,Normal
2026-07-15 10:09:04,Lunar_Probe,Earth,Trusted,Cruise,X-Band,Post-Quantum,4096,3879,-79,41,64.06,91,61.5,76.25,Replay
2026-07-15 10:04:57,Orbiter_1,Earth,Relay_B,Cruise,Ka-Band,AES-256,512,1250,-72,61,95.31,98,91.5,94.75,Normal
2026-07-15 10:06:48,Mars_Rover,Earth,Trusted,Surface Operation,S-Band,RSA-4096,4096,4727,-85,40,62.5,85,60.0,72.5,Replay
2026-07-15 10:07:00,Orbiter_1,Earth,Relay_B,Return Mission,S-Band,Post-Quantum,4096,1284,-68,60,93.75,98,90.0,94.0,Normal
2026-07-15 10:05:24,ISS_Module,Earth,Relay_E,Orbit,X-Band,RSA-4096,4096,522,-57,63,98.44,87,94.5,90.75,Normal
2026-07-15 10:05:33,Lunar_Probe,Earth,Relay_C,Return Mission,Ka-Band,RSA-4096,1024,1046,-67,62,96.88,97,93.0,95.0,Normal
2026-07-15 10:09:30,Mars_Rover,Earth,Relay_A,Launch,X-Band,Post-Quantum,512,1180,-73,61,95.31,97,91.5,94.25,Normal
2026-07-15 10:04:33,DeepSpace_Satellite,Earth,Relay_D,Surface Operation,Ka-Band,RSA-4096,512,2021,-81,60,93.75,89,90.0,89.5,Normal
2026-07-15 10:10:00,DeepSpace_Satellite,Earth,Relay_D,Launch,S-Band,RSA-4096,512,1985,-78,63,98.44,92,94.5,93.25,Normal
2026-07-15 10:06:50,Mars_Rover,Earth,Relay_A,Landing,Ka-Band,Post-Quantum,1024,1220,-72,62,96.88,98,93.0,95.5,Normal
2026-07-15 10:11:12,DeepSpace_Satellite,Earth,Relay_D,Return Mission,Ka-Band,RSA-4096,2048,2429,-78,59,92.19,92,88.5,90.25,Normal
2026-07-15 10:08:36,Orbiter_1,Earth,Relay_B,Sample Collection,X-Band,AES-256,4096,1251,-72,64,100.0,98,96.0,97.0,Normal
2026-07-15 10:14:40,DeepSpace_Satellite,Earth,Trusted,Launch,X-Band,Post-Quantum,1024,7930,-97,38,59.38,73,57.0,65.0,Replay
2026-07-15 10:09:00,Mars_Rover,Earth,Relay_X,Orbit,Ka-Band,Post-Quantum,1024,679,-23,39,60.94,53,58.5,55.75,Injection
2026-07-15 10:06:08,Mars_Rover,Earth,Relay_A,Sample Collection,Ka-Band,Post-Quantum,1024,1246,-72,64,100.0,98,96.0,97.0,Normal
2026-07-15 10:08:37,Lunar_Probe,Earth,Relay_C,Surface Operation,Ka-Band,AES-256,2048,1050,-68,62,96.88,98,93.0,95.5,Normal
2026-07-15 10:07:12,Mars_Rover,Earth,Relay_A,Launch,Ka-Band,Post-Quantum,4096,1248,-71,60,93.75,99,90.0,94.5,Normal
2026-07-15 10:07:21,Mars_Rover,Earth,Unknown_Relay,Surface Operation,Ka-Band,AES-256,1024,424,-26,48,75.0,56,72.0,64.0,Spoofing
2026-07-15 10:05:50,Mars_Rover,Earth,Relay_A,Data Transmission,X-Band,Post-Quantum,4096,1204,-71,62,96.88,99,93.0,96.0,Normal
2026-07-15 10:11:54,Mars_Rover,Earth,Relay_A,Landing,S-Band,AES-256,4096,1244,-72,63,98.44,98,94.5,96.25,Normal
2026-07-15 10:15:36,Mars_Rover,Earth,Trusted,Launch,Ka-Band,AES-256,2048,4506,-85,43,67.19,85,64.5,74.75,Replay
2026-07-15 10:07:04,DeepSpace_Satellite,Earth,Relay_D,Data Transmission,S-Band,AES-256,4096,1961,-81,59,92.19,89,88.5,88.75,Normal
2026-07-15 10:06:18,Orbiter_1,Earth,Relay_B,Data Transmission,Ka-Band,Post-Quantum,4096,1255,-71,63,98.44,99,94.5,96.75,Normal
2026-07-15 10:12:50,Lunar_Probe,Earth,Relay_C,Data Transmission,S-Band,Post-Quantum,1024,912,-65,64,100.0,95,96.0,95.5,Normal
2026-07-15 10:17:44,DeepSpace_Satellite,Earth,Relay_D,Landing,Ka-Band,Post-Quantum,2048,2348,-80,60,93.75,90,90.0,90.0,Normal
2026-07-15 10:11:24,DeepSpace_Satellite,Earth,Relay_X,Sample Collection,X-Band,RSA-4096,1024,1310,-30,33,51.56,60,49.5,54.75,Injection
2026-07-15 10:09:40,Orbiter_1,Earth,Relay_B,Landing,S-Band,RSA-4096,2048,1254,-68,62,96.88,98,93.0,95.5,Normal
2026-07-15 10:15:44,Lunar_Probe,Earth,Relay_C,Orbit,X-Band,Post-Quantum,1024,996,-66,62,96.88,96,93.0,94.5,Normal
2026-07-15 10:13:00,Orbiter_1,Earth,Relay_B,Data Transmission,X-Band,AES-256,512,1314,-70,61,95.31,100,91.5,95.75,Normal
2026-07-15 10:11:11,Lunar_Probe,Earth,Relay_C,Cruise,X-Band,RSA-4096,2048,944,-67,61,95.31,97,91.5,94.25,Normal
2026-07-15 10:09:18,Mars_Rover,Earth,Relay_A,Cruise,X-Band,Post-Quantum,512,1197,-73,61,95.31,97,91.5,94.25,Normal
2026-07-15 10:10:30,Lunar_Probe,Earth,Trusted,Launch,Ka-Band,RSA-4096,4096,3450,-80,40,62.5,90,60.0,75.0,Replay
2026-07-15 10:18:08,Orbiter_1,Earth,Relay_B,Landing,X-Band,AES-256,512,1270,-70,63,98.44,100,94.5,97.25,Normal
2026-07-15 10:20:35,Mars_Rover,Earth,Relay_A,Landing,Ka-Band,RSA-4096,2048,1233,-70,61,95.31,100,91.5,95.75,Normal
2026-07-15 10:08:48,DeepSpace_Satellite,Earth,Relay_D,Orbit,Ka-Band,Post-Quantum,2048,1837,-76,59,92.19,94,88.5,91.25,Normal
2026-07-15 10:17:52,Orbiter_1,Earth,Relay_B,Orbit,S-Band,RSA-4096,4096,1289,-69,60,93.75,99,90.0,94.5,Normal
2026-07-15 10:17:00,DeepSpace_Satellite,Earth,Relay_D,Cruise,Ka-Band,Post-Quantum,1024,2083,-81,62,96.88,89,93.0,91.0,Normal
2026-07-15 10:10:21,Mars_Rover,Earth,Relay_A,Landing,X-Band,Post-Quantum,2048,1235,-71,64,100.0,99,96.0,97.5,Normal
2026-07-15 10:05:50,DeepSpace_Satellite,Earth,Relay_D,Cruise,Ka-Band,AES-256,2048,2417,-82,59,92.19,88,88.5,88.25,Normal
2026-07-15 10:05:55,DeepSpace_Satellite,Earth,Unknown_Relay,Data Transmission,X-Band,Post-Quantum,512,826,-35,49,76.56,65,73.5,69.25,Spoofing
2026-07-15 10:16:48,DeepSpace_Satellite,Earth,Relay_D,Surface Operation,Ka-Band,AES-256,4096,2264,-80,60,93.75,90,90.0,90.0,Normal
2026-07-15 10:15:49,ISS_Module,Earth,Relay_E,Sample Collection,X-Band,AES-256,2048,477,-56,63,98.44,86,94.5,90.25,Normal
2026-07-15 10:12:20,Orbiter_1,Earth,Relay_B,Orbit,Ka-Band,Post-Quantum,1024,1281,-70,62,96.88,100,93.0,96.5,Normal
2026-07-15 10:07:30,Mars_Rover,Earth,Relay_A,Cruise,S-Band,RSA-4096,1024,1227,-72,61,95.31,98,91.5,94.75,Normal
2026-07-15 10:25:20,Mars_Rover,Earth,Relay_A,Cruise,X-Band,Post-Quantum,512,1198,-73,62,96.88,97,93.0,95.0,Normal
2026-07-15 10:25:40,DeepSpace_Satellite,Earth,Relay_D,Landing,X-Band,Post-Quantum,512,2248,-79,60,93.75,91,90.0,90.5,Normal
2026-07-15 10:15:36,ISS_Module,Earth,Relay_E,Orbit,X-Band,Post-Quantum,2048,482,-56,62,96.88,86,93.0,89.5,Normal
2026-07-15 10:17:07,Mars_Rover,Earth,Relay_A,Return Mission,X-Band,RSA-4096,4096,1227,-70,60,93.75,100,90.0,95.0,Normal
2026-07-15 10:25:20,Mars_Rover,Earth,Relay_A,Orbit,X-Band,Post-Quantum,1024,1201,-71,62,96.88,99,93.0,96.0,Normal
2026-07-15 10:21:36,Lunar_Probe,Earth,Relay_C,Orbit,X-Band,Post-Quantum,512,925,-67,61,95.31,97,91.5,94.25,Normal
2026-07-15 10:27:20,DeepSpace_Satellite,Earth,Relay_D,Return Mission,Ka-Band,AES-256,2048,2060,-79,58,90.62,91,87.0,89.0,Normal
2026-07-15 10:26:17,ISS_Module,Earth,Relay_E,Landing,Ka-Band,AES-256,4096,474,-56,64,100.0,86,96.0,91.0,Normal
2026-07-15 10:12:36,Mars_Rover,Earth,Relay_A,Sample Collection,Ka-Band,Post-Quantum,1024,1194,-70,64,100.0,100,96.0,98.0,Normal
2026-07-15 10:07:05,ISS_Module,Earth,Relay_E,Return Mission,S-Band,RSA-4096,1024,578,-60,62,96.88,90,93.0,91.5,Normal
2026-07-15 10:21:30,Mars_Rover,Earth,Unknown_Relay,Launch,X-Band,Post-Quantum,4096,417,-28,48,75.0,58,72.0,65.0,Spoofing
2026-07-15 10:17:24,ISS_Module,Earth,Trusted,Landing,S-Band,Post-Quantum,2048,2143,-73,44,68.75,97,66.0,81.5,Replay
2026-07-15 10:07:20,Mars_Rover,Earth,Relay_A,Sample Collection,S-Band,RSA-4096,2048,1229,-72,63,98.44,98,94.5,96.25,Normal
2026-07-15 10:11:52,Lunar_Probe,Earth,Relay_X,Sample Collection,S-Band,RSA-4096,4096,497,-18,36,56.25,48,54.0,51.0,Injection
2026-07-15 10:28:30,Lunar_Probe,Earth,Relay_C,Sample Collection,Ka-Band,Post-Quantum,1024,925,-65,64,100.0,95,96.0,95.5,Normal
2026-07-15 10:13:39,ISS_Module,Earth,Relay_E,Data Transmission,X-Band,AES-256,512,567,-56,63,98.44,86,94.5,90.25,Normal
2026-07-15 10:21:28,DeepSpace_Satellite,Earth,Relay_D,Launch,Ka-Band,AES-256,1024,1839,-81,58,90.62,89,87.0,88.0,Normal
2026-07-15 10:24:48,Lunar_Probe,Earth,Relay_C,Return Mission,S-Band,Post-Quantum,1024,1033,-67,63,98.44,97,94.5,95.75,Normal
2026-07-15 10:23:30,Lunar_Probe,Earth,Relay_X,Launch,S-Band,AES-256,1024,561,-18,38,59.38,48,57.0,52.5,Injection
2026-07-15 10:26:55,ISS_Module,Earth,Relay_X,Return Mission,X-Band,RSA-4096,1024,332,-7,37,57.81,37,55.5,46.25,Injection
2026-07-15 10:24:00,DeepSpace_Satellite,Earth,Relay_D,Surface Operation,Ka-Band,Post-Quantum,1024,1925,-81,62,96.88,89,93.0,91.0,Normal
2026-07-15 10:11:19,DeepSpace_Satellite,Earth,Relay_D,Surface Operation,X-Band,Post-Quantum,1024,1847,-78,58,90.62,92,87.0,89.5,Normal
2026-07-15 10:24:30,ISS_Module,Earth,Trusted,Landing,S-Band,Post-Quantum,4096,1968,-71,43,67.19,99,64.5,81.75,Replay
2026-07-15 10:24:45,ISS_Module,Earth,Relay_E,Cruise,X-Band,Post-Quantum,4096,468,-56,62,96.88,86,93.0,89.5,Normal
2026-07-15 10:13:20,Orbiter_1,Earth,Relay_X,Orbit,Ka-Band,AES-256,1024,714,-22,35,54.69,52,52.5,52.25,Injection
2026-07-15 10:25:15,Lunar_Probe,Earth,Relay_C,Launch,S-Band,AES-256,2048,982,-67,64,100.0,97,96.0,96.5,Normal
2026-07-15 10:18:42,Orbiter_1,Earth,Relay_B,Data Transmission,Ka-Band,Post-Quantum,512,1347,-70,64,100.0,100,96.0,98.0,Normal
2026-07-15 10:12:01,ISS_Module,Earth,Relay_E,Cruise,Ka-Band,Post-Quantum,512,501,-55,62,96.88,85,93.0,89.0,Normal
2026-07-15 10:22:32,Mars_Rover,Earth,Relay_A,Landing,X-Band,RSA-4096,1024,1190,-71,61,95.31,99,91.5,95.25,Normal
2026-07-15 10:33:15,Lunar_Probe,Earth,Relay_X,Data Transmission,S-Band,AES-256,4096,574,-17,35,54.69,47,52.5,49.75,Injection
2026-07-15 10:31:48,Orbiter_1,Earth,Relay_B,Cruise,S-Band,AES-256,1024,1349,-72,61,95.31,98,91.5,94.75,Normal
2026-07-15 10:33:53,DeepSpace_Satellite,Earth,Trusted,Cruise,Ka-Band,RSA-4096,512,8732,-92,42,65.62,78,63.0,70.5,Replay
2026-07-15 10:27:00,Lunar_Probe,Earth,Relay_C,Data Transmission,X-Band,AES-256,1024,995,-66,62,96.88,96,93.0,94.5,Normal
2026-07-15 10:18:10,Orbiter_1,Earth,Relay_B,Return Mission,Ka-Band,Post-Quantum,2048,1339,-70,64,100.0,100,96.0,98.0,Normal
2026-07-15 10:11:00,Mars_Rover,Earth,Relay_A,Launch,Ka-Band,Post-Quantum,2048,1215,-72,63,98.44,98,94.5,96.25,Normal
2026-07-15 10:33:18,Lunar_Probe,Earth,Relay_C,Return Mission,X-Band,Post-Quantum,512,1044,-64,62,96.88,94,93.0,93.5,Normal
2026-07-15 10:33:36,ISS_Module,Earth,Relay_E,Surface Operation,X-Band,RSA-4096,512,619,-60,62,96.88,90,93.0,91.5,Normal
2026-07-15 10:11:18,Lunar_Probe,Earth,Relay_C,Launch,X-Band,Post-Quantum,2048,952,-65,64,100.0,95,96.0,95.5,Normal
2026-07-15 10:13:18,DeepSpace_Satellite,Earth,Relay_D,Sample Collection,Ka-Band,Post-Quantum,1024,2359,-76,58,90.62,94,87.0,90.5,Normal
2026-07-15 10:19:10,Lunar_Probe,Earth,Relay_C,Cruise,S-Band,RSA-4096,512,1017,-65,61,95.31,95,91.5,93.25,Normal
2026-07-15 10:17:24,Orbiter_1,Earth,Relay_B,Sample Collection,Ka-Band,Post-Quantum,4096,1283,-69,63,98.44,99,94.5,96.75,Normal
2026-07-15 10:27:18,Lunar_Probe,Earth,Unknown_Relay,Sample Collection,S-Band,AES-256,1024,365,-22,49,76.56,52,73.5,62.75,Spoofing
2026-07-15 10:31:28,ISS_Module,Earth,Relay_E,Landing,S-Band,RSA-4096,512,644,-58,63,98.44,88,94.5,91.25,Normal
2026-07-15 10:37:41,Mars_Rover,Earth,Unknown_Relay,Return Mission,S-Band,Post-Quantum,2048,422,-28,52,81.25,58,78.0,68.0,Spoofing
2026-07-15 10:16:00,DeepSpace_Satellite,Earth,Relay_X,Launch,S-Band,Post-Quantum,512,1008,-27,34,53.12,57,51.0,54.0,Injection
2026-07-15 10:22:11,DeepSpace_Satellite,Earth,Unknown_Relay,Data Transmission,S-Band,AES-256,2048,843,-37,47,73.44,67,70.5,68.75,Spoofing
2026-07-15 10:38:38,DeepSpace_Satellite,Earth,Relay_D,Landing,Ka-Band,Post-Quantum,1024,1925,-80,61,95.31,90,91.5,90.75,Normal
2026-07-15 10:22:33,ISS_Module,Earth,Relay_E,Sample Collection,S-Band,RSA-4096,2048,623,-55,62,96.88,85,93.0,89.0,Normal
2026-07-15 10:31:00,ISS_Module,Earth,Relay_E,Sample Collection,X-Band,Post-Quantum,4096,538,-58,63,98.44,88,94.5,91.25,Normal
2026-07-15 10:10:25,Orbiter_1,Earth,Relay_B,Launch,Ka-Band,AES-256,512,1293,-69,62,96.88,99,93.0,96.0,Normal
2026-07-15 10:37:48,DeepSpace_Satellite,Earth,Relay_D,Launch,X-Band,Post-Quantum,2048,2414,-76,63,98.44,94,94.5,94.25,Normal
2026-07-15 10:23:17,ISS_Module,Earth,Relay_E,Sample Collection,S-Band,AES-256,2048,597,-59,62,96.88,89,93.0,91.0,Normal
2026-07-15 10:27:44,DeepSpace_Satellite,Earth,Relay_D,Return Mission,X-Band,AES-256,4096,2280,-78,62,96.88,92,93.0,92.5,Normal
2026-07-15 10:30:06,Mars_Rover,Earth,Relay_X,Sample Collection,X-Band,RSA-4096,1024,660,-20,38,59.38,50,57.0,53.5,Injection
2026-07-15 10:36:50,Mars_Rover,Earth,Relay_A,Return Mission,X-Band,RSA-4096,1024,1206,-71,60,93.75,99,90.0,94.5,Normal
2026-07-15 10:34:56,Lunar_Probe,Earth,Unknown_Relay,Orbit,X-Band,AES-256,1024,320,-22,50,78.12,52,75.0,63.5,Spoofing
2026-07-15 10:35:12,ISS_Module,Earth,Relay_E,Orbit,S-Band,RSA-4096,4096,522,-56,63,98.44,86,94.5,90.25,Normal
2026-07-15 10:33:15,DeepSpace_Satellite,Earth,Relay_D,Cruise,X-Band,Post-Quantum,1024,2345,-80,64,100.0,90,96.0,93.0,Normal
2026-07-15 10:17:52,Lunar_Probe,Earth,Relay_C,Sample Collection,S-Band,RSA-4096,4096,951,-66,61,95.31,96,91.5,93.75,Normal
2026-07-15 10:42:45,Orbiter_1,Earth,Relay_B,Return Mission,X-Band,RSA-4096,1024,1343,-70,62,96.88,100,93.0,96.5,Normal
2026-07-15 10:18:08,Mars_Rover,Earth,Relay_A,Orbit,X-Band,RSA-4096,2048,1238,-73,62,96.88,97,93.0,95.0,Normal
2026-07-15 10:20:33,Mars_Rover,Earth,Relay_A,Surface Operation,S-Band,AES-256,2048,1240,-71,64,100.0,99,96.0,97.5,Normal
2026-07-15 10:20:42,Orbiter_1,Earth,Relay_B,Cruise,X-Band,AES-256,4096,1298,-68,62,96.88,98,93.0,95.5,Normal
2026-07-15 10:16:13,ISS_Module,Earth,Relay_X,Data Transmission,S-Band,AES-256,4096,291,-9,37,57.81,39,55.5,47.25,Injection
2026-07-15 10:32:40,ISS_Module,Earth,Trusted,Launch,S-Band,RSA-4096,1024,1854,-71,43,67.19,99,64.5,81.75,Replay
2026-07-15 10:32:54,ISS_Module,Earth,Relay_E,Sample Collection,X-Band,Post-Quantum,4096,563,-56,63,98.44,86,94.5,90.25,Normal
2026-07-15 10:30:46,Lunar_Probe,Earth,Relay_C,Cruise,S-Band,Post-Quantum,2048,951,-65,64,100.0,95,96.0,95.5,Normal
2026-07-15 10:16:41,Lunar_Probe,Earth,Relay_C,Surface Operation,X-Band,AES-256,4096,940,-64,60,93.75,94,90.0,92.0,Normal
2026-07-15 10:36:00,DeepSpace_Satellite,Earth,Trusted,Return Mission,Ka-Band,AES-256,512,6851,-93,40,62.5,77,60.0,68.5,Replay
2026-07-15 10:12:05,Orbiter_1,Earth,Relay_X,Sample Collection,Ka-Band,Post-Quantum,1024,719,-22,38,59.38,52,57.0,54.5,Injection
2026-07-15 10:21:54,ISS_Module,Earth,Relay_E,Data Transmission,X-Band,AES-256,4096,649,-58,63,98.44,88,94.5,91.25,Normal
2026-07-15 10:36:45,Lunar_Probe,Earth,Relay_C,Return Mission,Ka-Band,Post-Quantum,4096,1019,-67,60,93.75,97,90.0,93.5,Normal
2026-07-15 10:12:20,Orbiter_1,Earth,Relay_B,Launch,S-Band,RSA-4096,4096,1343,-70,61,95.31,100,91.5,95.75,Normal
2026-07-15 10:17:23,DeepSpace_Satellite,Earth,Relay_D,Cruise,Ka-Band,RSA-4096,2048,2345,-76,60,93.75,94,90.0,92.0,Normal
2026-07-15 10:50:00,ISS_Module,Earth,Relay_E,Orbit,X-Band,RSA-4096,4096,547,-60,63,98.44,90,94.5,92.25,Normal
2026-07-15 10:30:12,DeepSpace_Satellite,Earth,Unknown_Relay,Return Mission,X-Band,Post-Quantum,2048,736,-32,46,71.88,62,69.0,65.5,Spoofing
2026-07-15 10:38:00,Lunar_Probe,Earth,Relay_X,Orbit,X-Band,RSA-4096,2048,545,-18,39,60.94,48,58.5,53.25,Injection
2026-07-15 10:30:36,Lunar_Probe,Earth,Unknown_Relay,Return Mission,S-Band,RSA-4096,4096,339,-23,52,81.25,53,78.0,65.5,Spoofing
2026-07-15 10:23:06,DeepSpace_Satellite,Earth,Relay_D,Data Transmission,Ka-Band,RSA-4096,2048,1801,-79,59,92.19,91,88.5,89.75,Normal
2026-07-15 10:33:35,ISS_Module,Earth,Trusted,Surface Operation,Ka-Band,RSA-4096,2048,2177,-75,43,67.19,95,64.5,79.75,Replay
2026-07-15 10:23:24,ISS_Module,Earth,Unknown_Relay,Launch,X-Band,AES-256,512,199,-11,52,81.25,41,78.0,59.5,Spoofing
2026-07-15 10:52:20,ISS_Module,Earth,Relay_E,Launch,X-Band,RSA-4096,2048,631,-58,64,100.0,88,96.0,92.0,Normal
2026-07-15 10:50:02,Mars_Rover,Earth,Relay_A,Landing,X-Band,AES-256,4096,1221,-70,60,93.75,100,90.0,95.0,Normal
2026-07-15 10:26:30,Mars_Rover,Earth,Relay_A,Landing,Ka-Band,RSA-4096,4096,1221,-72,61,95.31,98,91.5,94.75,Normal
2026-07-15 10:45:20,DeepSpace_Satellite,Earth,Relay_X,Launch,X-Band,Post-Quantum,2048,1166,-31,35,54.69,61,52.5,56.75,Injection
2026-07-15 10:40:15,Lunar_Probe,Earth,Relay_C,Landing,X-Band,Post-Quantum,4096,905,-67,63,98.44,97,94.5,95.75,Normal
2026-07-15 10:21:36,DeepSpace_Satellite,Earth,Relay_D,Landing,Ka-Band,RSA-4096,1024,2152,-81,61,95.31,89,91.5,90.25,Normal
2026-07-15 10:21:44,Mars_Rover,Earth,Relay_A,Data Transmission,S-Band,RSA-4096,1024,1185,-70,60,93.75,100,90.0,95.0,Normal
2026-07-15 10:41:00,ISS_Module,Earth,Relay_E,Return Mission,Ka-Band,Post-Quantum,1024,579,-56,63,98.44,86,94.5,90.25,Normal
2026-07-15 10:52:15,DeepSpace_Satellite,Earth,Relay_D,Surface Operation,Ka-Band,AES-256,2048,2460,-78,59,92.19,92,88.5,90.25,Normal
2026-07-15 10:30:26,Lunar_Probe,Earth,Relay_X,Data Transmission,S-Band,RSA-4096,2048,534,-15,35,54.69,45,52.5,48.75,Injection
2026-07-15 10:27:50,ISS_Module,Earth,Relay_E,Data Transmission,X-Band,Post-Quantum,512,548,-60,64,100.0,90,96.0,93.0,Normal
2026-07-15 10:14:00,Lunar_Probe,Earth,Relay_C,Return Mission,S-Band,RSA-4096,2048,953,-64,62,96.88,94,93.0,93.5,Normal
2026-07-15 10:30:59,Lunar_Probe,Earth,Relay_C,Return Mission,X-Band,Post-Quantum,1024,927,-64,63,98.44,94,94.5,94.25,Normal
2026-07-15 10:25:30,DeepSpace_Satellite,Earth,Relay_D,Surface Operation,S-Band,AES-256,4096,2051,-76,58,90.62,94,87.0,90.5,Normal
2026-07-15 10:34:12,Mars_Rover,Earth,Relay_A,Launch,X-Band,AES-256,1024,1222,-70,63,98.44,100,94.5,97.25,Normal
2026-07-15 10:37:16,DeepSpace_Satellite,Earth,Relay_D,Orbit,X-Band,AES-256,2048,1825,-80,64,100.0,90,96.0,93.0,Normal
2026-07-15 10:25:57,Mars_Rover,Earth,Relay_A,Orbit,X-Band,Post-Quantum,4096,1199,-70,60,93.75,100,90.0,95.0,Normal
2026-07-15 10:17:24,Lunar_Probe,Earth,Relay_C,Landing,Ka-Band,Post-Quantum,512,923,-66,62,96.88,96,93.0,94.5,Normal
