bundle_id,timestamp,source,destination,relay_path,propagation_delay_sec,rss_dbm,packet_size_bytes,transmission_rate_bps,ttl_original,status,St,Sl,Sr,Sh,Sc,trust_score,dynamic_trust,anomaly_confidence,lineage_score,combined_confidence,ttl_new,verdict
11,2026-08-01T00:09:56,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.83,-93.86,507,269,3600,Normal,0.789,0.447,0.612,0.529,0.916,0.691,0.771,0.084,1.0,0.829,2983,Legitimate
12,2026-08-01T00:10:36,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,714.39,-92.24,488,273,3600,Normal,0.722,0.869,0.47,0.67,0.914,0.744,0.767,0.086,1.0,0.845,3043,Legitimate
13,2026-08-01T00:11:47,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.48,-96.28,515,245,3600,Normal,0.595,0.519,0.935,0.727,0.915,0.741,0.763,0.085,1.0,0.843,3034,Legitimate
14,2026-08-01T00:12:46,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,714.79,-99.65,526,258,3600,Normal,0.854,0.936,0.498,0.717,0.921,0.802,0.769,0.079,1.0,0.865,3115,Legitimate
15,2026-08-01T00:13:59,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.41,-97.55,466,269,3600,Normal,0.585,0.851,0.782,0.817,0.871,0.772,0.769,0.129,1.0,0.855,3079,Legitimate
16,2026-08-01T00:15:20,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.03,-92.79,482,274,3600,Normal,0.488,0.843,0.519,0.681,0.897,0.687,0.757,0.103,1.0,0.822,2961,Legitimate
17,2026-08-01T00:16:46,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,729.41,-92.27,511,271,3600,Normal,0.457,0.554,0.497,0.525,0.934,0.61,0.735,0.066,1.0,0.788,2837,Legitimate
18,2026-08-01T00:17:57,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,718.22,-92.77,486,258,3600,Normal,0.725,0.934,0.575,0.754,0.969,0.801,0.745,0.031,1.0,0.857,3085,Legitimate
19,2026-08-01T00:18:43,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,730.67,-94.32,520,250,3600,Normal,0.707,0.539,0.784,0.662,0.973,0.751,0.746,0.027,1.0,0.84,3026,Legitimate
20,2026-08-01T00:19:21,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,720.41,-91.11,465,240,3600,Normal,0.58,0.878,0.44,0.659,0.826,0.681,0.736,0.174,1.0,0.813,2928,Legitimate
21,2026-08-01T00:20:31,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.31,-96.71,521,251,3600,Normal,0.717,0.576,0.792,0.684,0.948,0.758,0.739,0.052,1.0,0.84,3026,Legitimate
22,2026-08-01T00:21:39,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,741.43,-95.28,560,270,3600,Normal,0.765,0.336,0.971,0.653,0.794,0.716,0.736,0.206,1.0,0.825,2971,Legitimate
23,2026-08-01T00:22:09,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.79,-91.34,551,266,3600,Normal,0.458,0.67,0.472,0.571,0.891,0.623,0.719,0.109,1.0,0.787,2834,Legitimate
24,2026-08-01T00:23:28,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,726.09,-91.31,505,254,3600,Normal,0.561,0.729,0.493,0.611,0.97,0.688,0.714,0.03,1.0,0.808,2909,Legitimate
25,2026-08-01T00:24:44,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,736.24,-92.75,512,242,3600,Normal,0.625,0.479,0.662,0.571,0.902,0.667,0.707,0.098,1.0,0.798,2874,Legitimate
26,2026-08-01T00:26:12,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,703.0,-96.19,546,256,3600,Normal,0.463,0.503,0.81,0.657,0.901,0.669,0.702,0.099,1.0,0.797,2870,Legitimate
27,2026-08-01T00:26:54,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.0,-97.49,516,267,3600,Normal,0.627,0.566,0.645,0.605,0.945,0.696,0.701,0.055,1.0,0.806,2903,Legitimate
28,2026-08-01T00:27:57,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,738.08,-95.94,510,240,3600,Normal,0.911,0.449,0.865,0.657,0.872,0.774,0.712,0.128,1.0,0.837,3012,Legitimate
29,2026-08-01T00:28:50,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,736.36,-98.15,492,237,3600,Normal,0.842,0.505,0.578,0.541,0.861,0.696,0.709,0.139,1.0,0.809,2913,Legitimate
30,2026-08-01T00:30:16,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.91,-91.0,535,268,3600,Normal,0.488,0.882,0.457,0.67,0.923,0.688,0.706,0.077,1.0,0.805,2899,Legitimate
31,2026-08-01T00:31:34,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.41,-91.44,528,274,3600,Normal,0.625,0.938,0.517,0.727,0.905,0.746,0.712,0.095,1.0,0.827,2978,Legitimate
32,2026-08-01T00:32:14,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.85,-98.54,504,244,3600,Normal,0.577,0.668,0.535,0.601,0.922,0.675,0.707,0.078,1.0,0.801,2884,Legitimate
33,2026-08-01T00:33:18,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,731.03,-96.8,533,251,3600,Normal,0.903,0.627,0.744,0.686,0.956,0.808,0.722,0.044,1.0,0.852,3065,Legitimate
34,2026-08-01T00:34:30,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,726.47,-94.41,513,240,3600,Normal,0.73,0.765,0.874,0.819,0.958,0.832,0.738,0.042,1.0,0.865,3113,Legitimate
35,2026-08-01T00:35:14,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.17,-90.45,517,259,3600,Normal,0.638,0.459,0.429,0.444,0.848,0.594,0.717,0.152,1.0,0.776,2794,Legitimate
36,2026-08-01T00:35:44,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.47,-96.25,484,272,3600,Normal,0.442,0.482,0.805,0.643,0.861,0.647,0.706,0.139,1.0,0.791,2847,Legitimate
37,2026-08-01T00:37:09,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.67,-95.13,489,255,3600,Normal,0.505,0.776,0.985,0.881,0.961,0.807,0.721,0.039,1.0,0.851,3063,Legitimate
38,2026-08-01T00:38:13,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,704.12,-99.14,519,254,3600,Normal,0.9,0.553,0.479,0.516,0.909,0.71,0.72,0.091,1.0,0.818,2944,Legitimate
39,2026-08-01T00:39:33,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,718.83,-94.12,470,262,3600,Normal,0.589,0.986,0.832,0.909,0.935,0.836,0.737,0.065,1.0,0.866,3117,Legitimate
40,2026-08-01T00:40:25,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,716.7,-94.69,535,263,3600,Normal,0.796,0.93,0.924,0.927,0.982,0.908,0.763,0.018,1.0,0.898,3232,Legitimate
41,2026-08-01T00:41:36,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,702.65,-94.07,495,270,3600,Normal,0.752,0.523,0.826,0.675,0.911,0.753,0.761,0.089,1.0,0.846,3046,Legitimate
42,2026-08-01T00:42:21,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,706.68,-95.34,475,243,3600,Normal,0.655,0.629,0.956,0.792,0.888,0.782,0.764,0.112,1.0,0.857,3085,Legitimate
43,2026-08-01T00:43:20,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.19,-99.02,506,270,3600,Normal,0.966,0.704,0.482,0.593,0.902,0.764,0.764,0.098,1.0,0.851,3063,Legitimate
44,2026-08-01T00:44:25,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,702.63,-96.45,516,236,3600,Normal,0.877,0.541,0.794,0.667,0.872,0.771,0.765,0.128,1.0,0.854,3073,Legitimate
45,2026-08-01T00:45:00,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,738.42,-98.31,477,255,3600,Normal,0.495,0.421,0.564,0.493,0.84,0.58,0.737,0.16,1.0,0.778,2802,Legitimate
46,2026-08-01T00:45:43,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.75,-98.82,477,235,3600,Normal,0.631,0.486,0.521,0.504,0.802,0.61,0.718,0.198,1.0,0.782,2816,Legitimate
47,2026-08-01T00:46:37,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.86,-97.7,507,252,3600,Normal,0.862,0.722,0.652,0.687,0.945,0.795,0.73,0.055,1.0,0.85,3059,Legitimate
48,2026-08-01T00:47:53,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,741.4,-95.53,534,241,3600,Normal,0.628,0.393,0.979,0.686,0.838,0.71,0.727,0.162,1.0,0.82,2952,Legitimate
49,2026-08-01T00:48:41,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,707.8,-90.81,536,238,3600,Normal,0.723,0.662,0.425,0.543,0.861,0.668,0.718,0.139,1.0,0.802,2889,Legitimate
50,2026-08-01T00:49:31,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,700.87,-95.8,512,270,3600,Normal,0.768,0.509,0.917,0.713,0.901,0.774,0.726,0.099,1.0,0.841,3029,Legitimate
51,2026-08-01T00:50:11,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,700.86,-95.07,547,238,3600,Normal,0.581,0.518,0.953,0.736,0.833,0.721,0.726,0.167,1.0,0.823,2965,Legitimate
52,2026-08-01T00:50:45,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.57,-92.48,473,271,3600,Normal,0.497,0.687,0.594,0.641,0.905,0.671,0.717,0.095,1.0,0.803,2891,Legitimate
53,2026-08-01T00:51:30,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,723.41,-90.63,469,262,3600,Normal,0.679,0.806,0.43,0.618,0.85,0.691,0.713,0.15,1.0,0.809,2911,Legitimate
54,2026-08-01T00:52:36,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,720.98,-99.13,481,264,3600,Normal,0.82,0.898,0.48,0.689,0.923,0.78,0.723,0.077,1.0,0.842,3033,Legitimate
55,2026-08-01T00:53:21,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.87,-91.49,526,254,3600,Normal,0.67,0.724,0.514,0.619,0.941,0.712,0.722,0.059,1.0,0.819,2949,Legitimate
56,2026-08-01T00:54:50,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,730.88,-90.94,507,276,3600,Normal,0.407,0.59,0.479,0.535,0.83,0.577,0.7,0.17,1.0,0.764,2750,Legitimate
57,2026-08-01T00:55:26,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.56,-92.27,487,273,3600,Normal,0.52,0.518,0.625,0.571,0.851,0.628,0.689,0.149,1.0,0.778,2802,Legitimate
58,2026-08-01T00:56:52,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.37,-92.57,489,253,3600,Normal,0.464,0.524,0.663,0.594,0.904,0.639,0.682,0.096,1.0,0.78,2807,Legitimate
59,2026-08-01T00:57:56,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,728.79,-96.06,561,262,3600,Normal,0.883,0.646,0.789,0.718,0.906,0.806,0.7,0.094,1.0,0.843,3037,Legitimate
60,2026-08-01T00:58:26,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.25,-95.52,556,239,3600,Normal,0.439,0.689,0.859,0.774,0.893,0.72,0.703,0.107,1.0,0.815,2935,Legitimate
61,2026-08-01T00:59:52,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,704.2,-91.35,471,258,3600,Normal,0.47,0.583,0.532,0.557,0.847,0.608,0.689,0.153,1.0,0.771,2776,Legitimate
62,2026-08-01T01:00:39,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,710.57,-92.25,495,263,3600,Normal,0.7,0.764,0.638,0.701,0.943,0.761,0.7,0.057,1.0,0.828,2982,Legitimate
63,2026-08-01T01:02:03,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.8,-94.89,553,270,3600,Normal,0.513,0.744,0.968,0.856,0.897,0.781,0.712,0.103,1.0,0.839,3021,Legitimate
64,2026-08-01T01:02:38,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,725.8,-98.13,465,249,3600,Normal,0.499,0.72,0.532,0.626,0.892,0.661,0.704,0.108,1.0,0.795,2863,Legitimate
65,2026-08-01T01:03:16,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,725.92,-92.74,536,258,3600,Normal,0.555,0.724,0.7,0.712,0.967,0.736,0.709,0.033,1.0,0.823,2962,Legitimate
66,2026-08-01T01:04:13,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.63,-91.31,557,263,3600,Normal,0.944,0.834,0.543,0.689,0.9,0.805,0.724,0.1,1.0,0.851,3064,Legitimate
67,2026-08-01T01:04:52,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.97,-98.18,520,241,3600,Normal,0.587,0.863,0.507,0.685,0.966,0.73,0.725,0.034,1.0,0.826,2974,Legitimate
68,2026-08-01T01:05:30,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,700.21,-93.71,556,275,3600,Normal,0.582,0.492,0.842,0.667,0.773,0.672,0.717,0.227,1.0,0.804,2893,Legitimate
69,2026-08-01T01:06:02,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,737.23,-92.25,486,239,3600,Normal,0.505,0.468,0.64,0.554,0.854,0.617,0.702,0.146,1.0,0.779,2804,Legitimate
70,2026-08-01T01:07:21,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.59,-98.56,560,266,3600,Normal,0.55,0.833,0.486,0.66,0.879,0.687,0.699,0.121,1.0,0.802,2889,Legitimate
71,2026-08-01T01:08:50,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,738.57,-98.46,560,268,3600,Normal,0.431,0.452,0.509,0.481,0.81,0.551,0.677,0.19,1.0,0.746,2687,Legitimate
72,2026-08-01T01:10:16,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,716.21,-91.95,555,267,3600,Normal,0.48,0.915,0.597,0.756,0.912,0.726,0.684,0.088,1.0,0.811,2919,Legitimate
73,2026-08-01T01:11:12,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,733.06,-98.46,543,246,3600,Normal,0.942,0.556,0.514,0.535,0.884,0.724,0.69,0.116,1.0,0.812,2924,Legitimate
74,2026-08-01T01:12:32,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,728.7,-93.88,464,254,3600,Normal,0.574,0.664,0.836,0.75,0.9,0.744,0.698,0.1,1.0,0.822,2958,Legitimate
75,2026-08-01T01:13:14,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,733.68,-94.62,492,268,3600,Normal,0.642,0.55,0.945,0.747,0.928,0.766,0.709,0.072,1.0,0.833,2999,Legitimate
76,2026-08-01T01:13:58,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,708.03,-96.52,501,246,3600,Normal,0.688,0.675,0.754,0.714,0.954,0.768,0.717,0.046,1.0,0.836,3011,Legitimate
77,2026-08-01T01:14:32,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,740.17,-92.9,526,251,3600,Normal,0.535,0.424,0.685,0.555,0.887,0.633,0.705,0.113,1.0,0.786,2829,Legitimate
78,2026-08-01T01:15:55,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.56,-99.17,472,275,3600,Normal,0.503,0.905,0.457,0.681,0.84,0.676,0.7,0.16,1.0,0.799,2876,Legitimate
79,2026-08-01T01:16:36,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,723.48,-99.59,464,259,3600,Normal,0.649,0.826,0.436,0.631,0.838,0.687,0.698,0.162,1.0,0.802,2888,Legitimate
80,2026-08-01T01:17:28,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,729.87,-93.23,522,256,3600,Normal,0.871,0.631,0.735,0.683,0.979,0.804,0.714,0.021,1.0,0.848,3051,Legitimate
81,2026-08-01T01:18:22,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,737.26,-92.06,465,253,3600,Normal,0.932,0.474,0.588,0.531,0.822,0.704,0.713,0.178,1.0,0.813,2928,Legitimate
82,2026-08-01T01:19:25,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,738.38,-95.37,534,265,3600,Normal,0.832,0.467,0.941,0.704,0.888,0.782,0.723,0.112,1.0,0.843,3035,Legitimate
83,2026-08-01T01:20:37,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,706.91,-94.35,557,273,3600,Normal,0.659,0.619,0.893,0.756,0.846,0.754,0.728,0.154,1.0,0.835,3007,Legitimate
84,2026-08-01T01:21:46,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,711.96,-98.31,534,247,3600,Normal,0.719,0.766,0.537,0.651,0.944,0.741,0.73,0.056,1.0,0.832,2994,Legitimate
85,2026-08-01T01:22:35,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.21,-93.35,532,258,3600,Normal,0.812,0.72,0.742,0.731,0.976,0.812,0.742,0.024,1.0,0.86,3094,Legitimate
86,2026-08-01T01:23:17,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,716.56,-99.18,530,272,3600,Normal,0.669,0.904,0.466,0.685,0.906,0.736,0.741,0.094,1.0,0.834,3001,Legitimate
87,2026-08-01T01:24:26,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.99,-94.11,546,247,3600,Normal,0.72,0.869,0.833,0.851,0.955,0.844,0.757,0.045,1.0,0.875,3150,Legitimate
88,2026-08-01T01:25:09,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,716.97,-95.76,527,254,3600,Normal,0.68,0.899,0.887,0.893,0.988,0.863,0.773,0.012,1.0,0.886,3191,Legitimate
