bundle_id,timestamp,source,destination,relay_path,propagation_delay_sec,rss_dbm,packet_size_bytes,transmission_rate_bps,ttl_original,status
7,2026-08-01T00:06:16,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,713.91,-93.52,487,237,3600,Normal
417,2026-08-01T00:06:19,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,703.02,-91.16,476,243,3600,Normal
826,2026-08-01T00:06:21,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,708.59,-94.36,499,241,3600,Normal
8,2026-08-01T00:07:15,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.57,-99.49,499,258,3600,Normal
418,2026-08-01T00:07:22,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.3,-93.62,542,238,3600,Normal
827,2026-08-01T00:07:38,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,704.86,-97.9,478,255,3600,Normal
419,2026-08-01T00:08:17,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,718.23,-92.56,532,247,3600,Normal
9,2026-08-01T00:08:38,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,725.56,-98.66,497,243,3600,Normal
828,2026-08-01T00:09:05,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.09,-95.16,534,267,3600,Normal
10,2026-08-01T00:09:12,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,700.38,-92.42,490,238,3600,Normal
420,2026-08-01T00:09:39,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.03,-96.46,548,266,3600,Normal
829,2026-08-01T00:09:54,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.24,-98.41,465,239,3600,Normal
11,2026-08-01T00:09:56,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.83,-93.86,507,269,3600,Normal
421,2026-08-01T00:10:14,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,715.91,-93.83,509,261,3600,Normal
830,2026-08-01T00:10:34,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,700.99,-97.98,509,261,3600,Normal
12,2026-08-01T00:10:36,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,714.39,-92.24,488,273,3600,Normal
422,2026-08-01T00:11:28,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.8,-95.0,505,267,3600,Normal
831,2026-08-01T00:11:32,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,730.57,-92.72,497,258,3600,Normal
13,2026-08-01T00:11:47,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.48,-96.28,515,245,3600,Normal
423,2026-08-01T00:12:34,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,740.62,-99.5,552,273,3600,Normal
14,2026-08-01T00:12:46,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,714.79,-99.65,526,258,3600,Normal
832,2026-08-01T00:12:53,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.53,-90.44,473,271,3600,Normal
424,2026-08-01T00:13:18,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,707.53,-98.5,551,254,3600,Normal
425,2026-08-01T00:13:50,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,738.32,-96.75,489,257,3600,Normal
15,2026-08-01T00:13:59,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.41,-97.55,466,269,3600,Normal
833,2026-08-01T00:14:01,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,706.99,-95.72,527,242,3600,Normal
426,2026-08-01T00:15:02,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,699.82,-99.07,493,274,3600,Normal
16,2026-08-01T00:15:20,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.03,-92.79,482,274,3600,Normal
834,2026-08-01T00:15:20,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,710.7,-93.34,513,267,3600,Normal
427,2026-08-01T00:16:09,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,704.63,-98.05,544,273,3600,Normal
835,2026-08-01T00:16:18,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,736.83,-93.87,490,261,3600,Normal
17,2026-08-01T00:16:46,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,729.41,-92.27,511,271,3600,Normal
836,2026-08-01T00:16:57,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.91,-96.34,555,252,3600,Normal
428,2026-08-01T00:16:58,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.42,-92.53,546,251,3600,Normal
18,2026-08-01T00:17:57,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,718.22,-92.77,486,258,3600,Normal
837,2026-08-01T00:18:06,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,723.09,-98.31,468,242,3600,Normal
429,2026-08-01T00:18:25,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.75,-93.9,536,267,3600,Normal
19,2026-08-01T00:18:43,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,730.67,-94.32,520,250,3600,Normal
838,2026-08-01T00:18:50,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,711.94,-96.45,533,260,3600,Normal
20,2026-08-01T00:19:21,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,720.41,-91.11,465,240,3600,Normal
430,2026-08-01T00:19:39,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,729.68,-95.01,560,237,3600,Normal
839,2026-08-01T00:19:45,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,710.12,-94.48,549,250,3600,Normal
21,2026-08-01T00:20:31,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.31,-96.71,521,251,3600,Normal
431,2026-08-01T00:20:36,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,708.43,-90.97,522,260,3600,Normal
840,2026-08-01T00:20:52,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,720.9,-94.53,477,270,3600,Normal
841,2026-08-01T00:21:30,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,729.84,-96.54,557,264,3600,Normal
22,2026-08-01T00:21:39,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,741.43,-95.28,560,270,3600,Normal
432,2026-08-01T00:21:44,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,715.54,-97.6,463,246,3600,Normal
842,2026-08-01T00:22:05,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,707.5,-94.02,470,273,3600,Normal
23,2026-08-01T00:22:09,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,727.79,-91.34,551,266,3600,Normal
433,2026-08-01T00:22:42,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,719.59,-93.63,557,253,3600,Normal
843,2026-08-01T00:23:05,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.09,-90.5,501,266,3600,Normal
24,2026-08-01T00:23:28,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,726.09,-91.31,505,254,3600,Normal
844,2026-08-01T00:23:40,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,702.89,-96.12,469,273,3600,Normal
434,2026-08-01T00:23:55,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,723.71,-93.86,539,247,3600,Normal
845,2026-08-01T00:24:34,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,711.76,-92.6,489,261,3600,Normal
435,2026-08-01T00:24:40,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,729.21,-91.03,476,264,3600,Normal
25,2026-08-01T00:24:44,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,736.24,-92.75,512,242,3600,Normal
846,2026-08-01T00:25:12,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.16,-91.87,464,250,3600,Normal
436,2026-08-01T00:25:50,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.06,-93.95,497,239,3600,Normal
26,2026-08-01T00:26:12,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,703.0,-96.19,546,256,3600,Normal
847,2026-08-01T00:26:40,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.45,-94.77,560,257,3600,Normal
27,2026-08-01T00:26:54,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.0,-97.49,516,267,3600,Normal
437,2026-08-01T00:27:20,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,711.72,-93.67,488,240,3600,Normal
848,2026-08-01T00:27:27,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.1,-91.53,557,257,3600,Normal
28,2026-08-01T00:27:57,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,738.08,-95.94,510,240,3600,Normal
438,2026-08-01T00:28:01,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,717.02,-95.54,513,239,3600,Normal
849,2026-08-01T00:28:34,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,724.22,-96.24,525,258,3600,Normal
439,2026-08-01T00:28:36,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,713.69,-91.13,522,248,3600,Normal
29,2026-08-01T00:28:50,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,736.36,-98.15,492,237,3600,Normal
440,2026-08-01T00:29:30,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,698.93,-94.18,540,265,3600,Normal
850,2026-08-01T00:29:37,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,726.04,-95.32,553,255,3600,Normal
30,2026-08-01T00:30:16,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.91,-91.0,535,268,3600,Normal
851,2026-08-01T00:30:21,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,733.16,-94.45,498,246,3600,Normal
441,2026-08-01T00:30:35,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,737.5,-99.54,519,242,3600,Normal
852,2026-08-01T00:31:10,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,698.86,-95.22,538,241,3600,Normal
442,2026-08-01T00:31:29,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,705.72,-92.8,488,241,3600,Normal
31,2026-08-01T00:31:34,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,721.41,-91.44,528,274,3600,Normal
853,2026-08-01T00:31:58,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,718.67,-90.33,555,274,3600,Normal
443,2026-08-01T00:32:09,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,717.18,-94.25,510,238,3600,Normal
32,2026-08-01T00:32:14,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.85,-98.54,504,244,3600,Normal
444,2026-08-01T00:32:55,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,739.19,-97.1,511,260,3600,Normal
854,2026-08-01T00:32:58,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,711.34,-97.53,542,259,3600,Normal
33,2026-08-01T00:33:18,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,731.03,-96.8,533,251,3600,Normal
445,2026-08-01T00:33:54,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,703.02,-93.14,557,249,3600,Normal
855,2026-08-01T00:34:18,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,698.71,-93.8,502,258,3600,Normal
34,2026-08-01T00:34:30,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,726.47,-94.41,513,240,3600,Normal
446,2026-08-01T00:35:03,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,714.81,-98.44,505,253,3600,Normal
856,2026-08-01T00:35:13,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.2,-97.04,526,269,3600,Normal
35,2026-08-01T00:35:14,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.17,-90.45,517,259,3600,Normal
36,2026-08-01T00:35:44,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,701.47,-96.25,484,272,3600,Normal
857,2026-08-01T00:35:57,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.76,-94.26,485,266,3600,Normal
447,2026-08-01T00:36:25,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,735.53,-99.51,474,248,3600,Normal
37,2026-08-01T00:37:09,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.67,-95.13,489,255,3600,Normal
858,2026-08-01T00:37:25,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,724.89,-96.84,488,262,3600,Normal
448,2026-08-01T00:37:55,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,728.44,-94.8,478,251,3600,Normal
38,2026-08-01T00:38:13,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,704.12,-99.14,519,254,3600,Normal
859,2026-08-01T00:38:29,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,733.34,-94.17,548,242,3600,Normal
449,2026-08-01T00:38:45,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,710.99,-96.85,511,259,3600,Normal
860,2026-08-01T00:39:17,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,703.17,-94.58,507,264,3600,Normal
450,2026-08-01T00:39:30,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.48,-92.91,541,250,3600,Normal
39,2026-08-01T00:39:33,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,718.83,-94.12,470,262,3600,Normal
861,2026-08-01T00:40:18,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,706.51,-90.43,465,257,3600,Normal
40,2026-08-01T00:40:25,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,716.7,-94.69,535,263,3600,Normal
451,2026-08-01T00:40:59,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,722.76,-95.88,516,263,3600,Normal
862,2026-08-01T00:40:59,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,740.4,-92.93,473,253,3600,Normal
863,2026-08-01T00:41:29,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,708.46,-91.68,511,249,3600,Normal
41,2026-08-01T00:41:36,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,702.65,-94.07,495,270,3600,Normal
452,2026-08-01T00:42:04,Rover-2,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,699.56,-97.16,557,244,3600,Normal
864,2026-08-01T00:42:18,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,732.34,-94.98,498,264,3600,Normal
42,2026-08-01T00:42:21,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,706.68,-95.34,475,243,3600,Normal
865,2026-08-01T00:42:50,Rover-3,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,712.67,-98.26,558,237,3600,Normal
43,2026-08-01T00:43:20,Rover-1,Earth Ground Station,Mars Surface Rover>Mars Orbiter>Lunar Relay Satellite 2>Lunar Relay Satellite 1>Earth Ground Station,709.19,-99.02,506,270,3600,Normal
